CALIMA_EGY_LEMMA	SAMA_LEMMA	CALIMA_ALMOR_POS	SAMA_POS	English-Equivalent
UNK	daq~aq_1	UNK	pos:verb	look carefully
UNK	Had~aq_1	UNK	pos:verb	peer
UNK	{isotabad~_1	UNK	pos:verb	behave tyrannically
AisotaHal~_1	{isotaHal~_1	pos:verb	pos:verb	consider halal
AisotaHal~_1	{isotaHal~_1	pos:verb	pos:verb	regard as lawful
AisotaHal~_1	xadaE-a_1	pos:verb	pos:verb	consider fair game
AisotaHal~_1	ga$~-u_1	pos:verb	pos:verb	authorize
AisotaHam~aY_1	{isotaHam~_1	pos:verb	pos:verb	bathe
UNK	{inofaEal_1	UNK	pos:verb	be evasive
UNK	tamal~aS_1	UNK	pos:verb	abscond
UNK	tamal~aS_1	UNK	pos:verb	be cooperative
UNK	tahar~ab_1	UNK	pos:verb	abscond
UNK	rAwag_1	UNK	pos:verb	stall
UNK	SaE~ab_1	UNK	pos:verb	be difficult
AisotaHaY_1	UNK	pos:verb	UNK	feel embarrassment
AisotaHay~in_1	taHay~an_1	pos:verb	pos:verb	watch;;wait
UNK	xaj~al_1	UNK	pos:verb	feel shy
AisotaHosan_1	{isotaHosan_1	pos:verb	pos:verb	select for being better
AisotaHoSal_1	{isotaHoSal_1	pos:verb	pos:verb	gain possession
AisotaHoDar_1	{isotaHoDar_1	pos:verb	pos:verb	prepare oneself
UNK	HaZiy-a_1	UNK	pos:verb	treat
AisotaHofaZ_1	UNK	pos:verb	UNK	be careful
AisotaHoqar_1	UNK	pos:verb	UNK	despise;;misprize
AisotaHoqar_1	{iHotaqar_1	pos:verb	pos:verb	despise
AisotaHoqar_1	{iHotaqar_1	pos:verb	pos:verb	hate
AisotaHoqar_1	{izodaraY_1	pos:verb	pos:verb	despise;;misprize
AisotaHoqar_1	{isotaxaf~_1	pos:verb	pos:verb	despise corn;;misprize
AisotaHokim_1	>aboqaY_1	pos:verb	pos:verb	become strong
AisotaHokim_1	{isotaHokam_1	pos:verb	pos:verb	become exacerbated
AisotaHokim_1	{isotaHokam_1	pos:verb	pos:verb	control
AisotaHokim_1	{isotaHokam_1	pos:verb	pos:verb	fasten
AisotaHokim_1	{isotaHokam_1	pos:verb	pos:verb	gain possession
AisotaHokim_1	{isotaHokam_1	pos:verb	pos:verb	hold;;keep
AisotaHokim_1	{imotalak_1	pos:verb	pos:verb	become entrenched
AisotaHokim_1	taras~ax_1	pos:verb	pos:verb	make steady
AisotaHokim_1	tamal~ak_1	pos:verb	pos:verb	take hold
AisotaHokim_1	daE~am_1	pos:verb	pos:verb	become accurate
AisotaHokim_1	daE~am_1	pos:verb	pos:verb	make solid
AisotaHokim_1	UNK	pos:verb	UNK	resist
AisotaHokim_1	kabat-i_1	pos:verb	pos:verb	suppress
AisotaHokim_1	UNK	pos:verb	UNK	enjoin
AisotaHolaY_1	{isotaHolaY_1	pos:verb	pos:verb	consider pleasant
AisotaHolaY_1	{isotaHolaY_1	pos:verb	pos:verb	find enjoyable
AisotaHolib_1	{iHotalab_1	pos:verb	pos:verb	emulsify
AisotaHolib_1	{isotaHolab_1	pos:verb	pos:verb	suck
AisotaHolif_1	{isotaHolaf_1	pos:verb	pos:verb	adjure
AisotaHolif_1	{isotaHolaf_1	pos:verb	pos:verb	appeal
AisotaHolif_1	{isotaHolaf_1	pos:verb	pos:verb	make someone swear
AisotaHolim_1	UNK	pos:verb	UNK	have a wet dream
AisotaHolim_1	UNK	pos:verb	UNK	have wet dreams
AisotaHomar_1	UNK	pos:verb	UNK	behave stupidly
AisotaHomar_1	UNK	pos:verb	UNK	consider red
AisotaHomar_1	UNK	pos:verb	UNK	select for redness
AisotaHomar_1	UNK	pos:verb	UNK	consider stupid
AisotaHomar_1	taHAmaq_1	pos:verb	pos:verb	acted with stupidity
AisotaHomil_1	taHam~al_1	pos:verb	pos:verb	endure;;put up with
AisotaHomil_1	taHam~al_1	pos:verb	pos:verb	last;;have stamina
Aisotaxobar_1	{isotaxobar_1	pos:verb	pos:verb	inquire
Aisotaxodim_1	{isotaxodam_1	pos:verb	pos:verb	use;;utilize;;employ;;operate;;be used;;be utilized;;be employed
AisotaxoSab_1	UNK	pos:verb	UNK	fertilizes
AisotaxofaY_1	{isotaxofaY_1	pos:verb	pos:verb	hide;;be hidden;;disappear
AisotaxolaS_1	{isotaxolaS_1	pos:verb	pos:verb	extract;;derive
{isotaxolaS_1	{isotaxolaS_1	pos:verb	pos:verb	extract;;derive
Aisotaxab~A_1	taxab~a>_1	pos:verb	pos:verb	be hidden;;be concealed
Aisotaxas~_1	{isotaqal~_1	pos:verb	pos:verb	be independent;;be autonomous
Aisotaxaf~_1	{isotaxaf~_1	pos:verb	pos:verb	lighten;;disdain
UNK	{ixotalaY_1	UNK	pos:verb	be withdrawn;;withdraw;;retire;;be removed
Aisotaxodim_1	{isotaxodam_1	pos:verb	pos:verb	use;;utilize;;employ;;operate;;be used;;be utilized;;be employed
UNK	{isotixorAj_1	UNK	pos:noun	extraction;;removal;;deduction
Aisotaxoraj_1	{isotaxoraj_1	pos:verb	pos:verb	extract;;derive;;conclude
Aisotaxosar_1	{isotaxosar_1	pos:verb	pos:verb	grudge;;envy
Aisotaxowin_1	{isotaxowan_1	pos:verb	pos:verb	distrust
Aisotaxoyib_1	UNK	pos:verb	UNK	consider bad
AisotadAm_1	{isotadAm_1	pos:verb	pos:verb	make last;;continue
AisotadAn_1	{isotadAn_1	pos:verb	pos:verb	borrow
AisotadolaE_1	tadal~al_1	pos:verb	pos:verb	flirt
Aisotadaq~_1	{isotadaq~_1	pos:verb	pos:verb	be fine;;be thin
Aisotadal~_1	{isotadal~_1	pos:verb	pos:verb	infer;;conclude
Aisotadobil_1	UNK	pos:verb	UNK	shrivel
Aisotadoraj_1	{isotadoraj_1	pos:verb	pos:verb	promote;;advance gradually
Aisotadorak_1	{isotadorak_1	pos:verb	pos:verb	set the record straight;;correct;;amend;;remedy
Aisotadosim_1	UNK	pos:verb	UNK	consider fatty
AisotadoEaY_1	{isotadoEaY_1	pos:verb	pos:verb	call;;be summoned;;invoke;;be called;;summon;;be invoked
AisotadofaY_1	{isotadofa>_1	pos:verb	pos:verb	be warmed
Aisotadokar_1	UNK	pos:verb	UNK	become  chivalrous
Aisotadohin_1	dAhan_1	pos:verb	pos:verb	cajole;;dupe
Aisotadowin_1	daw~an_1	pos:verb	pos:verb	record;;register;;collect
Aisotadoyik_1	{isotafoHal_1	pos:verb	pos:verb	exacerbate
Aisota*al~_1	>axoDaE_1	pos:verb	pos:verb	subjugate
Aisota*al~_1	{isota*al~_1	pos:verb	pos:verb	deride;;disparage
Aisota*al~_1	{isota*al~_1	pos:verb	pos:verb	despise;;scorn
Aisota*al~_1	{isotaEobad_1	pos:verb	pos:verb	subjugate
Aisota*al~_1	qahar-a_1	pos:verb	pos:verb	subjugate
Aisota*owaq_1	UNK	pos:verb	UNK	forbear
Aisotaraj~aY_1	taraj~aY_1	pos:verb	pos:verb	hope;;expect;;request
Aisotarofaq_1	taraf~aq_1	pos:verb	pos:verb	be courteous;;treat gently;;go slowly
AisotarojaY_1	taraj~aY_1	pos:verb	pos:verb	hope;;expect;;request
UNK	{isotaroxaY_1	UNK	pos:verb	become lose
Aisotarad~_1	{isotarad~_1	pos:verb	pos:verb	recover;;reclaim;;regain
Aisotarad~_1	{isotarad~_1	pos:verb	pos:verb	recall
Aisotaray~aH_1	{irotAH_1	pos:verb	pos:verb	be at rest;;relax;;be satisfied
Aisotaray~aH_1	{irotAH_1	pos:verb	pos:verb	feel comfortable
Aisotaray~aH_1	mAt-u_1	pos:verb	pos:verb	die
AisotarobaH_1	UNK	pos:verb	UNK	gain
AisotarojaE_1	{isotarojaE_1	pos:verb	pos:verb	remind oneself
Aisotarojil_1	{isotarojal_1	pos:verb	pos:verb	consider manly
AisotaroHam_1	{isotaroHam_1	pos:verb	pos:verb	ask for mercy
AisotaroxaS_1	{isotaroxaS_1	pos:verb	pos:verb	consider cheap
AisotaroxaY_1	{isotaroxaY_1	pos:verb	pos:verb	be relaxed
Aisotarozal_1	{isotaro*al_1	pos:verb	pos:verb	consider impertinent
Aisotarozaq_1	{isotarozaq_1	pos:verb	pos:verb	work up
Aisotaro$id_1	{isotaro$ad_1	pos:verb	pos:verb	ask for guidance
AisotaroSad_1	taraS~ad_1	pos:verb	pos:verb	await;;wait for
AisotaroDaY_1	{isotaroDaY_1	pos:verb	pos:verb	seek to satisfy
AisotarofaE_1	UNK	pos:verb	UNK	consider thin
AisotaroqaY_1	UNK	pos:verb	UNK	use incantations or charm against evil
AisotazAd_1	{isotazAd_1	pos:verb	pos:verb	ask for more
Aisotazohid_1	{isotazohad_1	pos:verb	pos:verb	deem insignificant
AisotazoHam_1	{izodaHam_1	pos:verb	pos:verb	consider crowded
AisotazoHam_1	UNK	pos:verb	UNK	consider crowded
Aisotazoraq_1	UNK	pos:verb	UNK	bluish
Aisotazofar_1	UNK	pos:verb	UNK	consider rank
Aisotazonax_1	nat~an_1	pos:verb	pos:verb	consider rotten
AisotasAg_1	{isotasAg_1	pos:verb	pos:verb	find pleasant;;admit
Aisotasoxan_1	UNK	pos:verb	UNK	heated
AisotasoqaE_1	UNK	pos:verb	UNK	cools
Aisotasolim_1	{isotasolam_1	pos:verb	pos:verb	surrender;;capitulate
AisotasomaH_1	{isotasomaH_1	pos:verb	pos:verb	apologize;;ask forgiveness
Aisotasomin_1	UNK	pos:verb	UNK	fatten
AisotasohaY_1	sahA-u_1	pos:verb	pos:verb	be distracted;;overlook;;be overlooked
Aisotasohil_1	{isotasohal_1	pos:verb	pos:verb	deem easy
Aisota$AE_1	$AE-i_1	pos:verb	pos:verb	circulate;;be propagated
Aisota$Ar_1	{isota$Ar_1	pos:verb	pos:verb	consult;;seek the advice of
Aisota$oEar_1	{isota$oEar_1	pos:verb	pos:verb	be conscious of;;realize;;have a premonition of
Aisota$okil_1	{isota$okal_1	pos:verb	pos:verb	regard as dubious
Aisota$ohad_1	{isota$ohad_1	pos:verb	pos:verb	quote;;be martyred;;die in battle
Aisota$ohid_1	{isota$ohad_1	pos:verb	pos:verb	quote;;be martyred;;die in battle
Aisota$owaY_1	{isotaSogar_1	pos:verb	pos:verb	look down on
Aisota$oyax_1	tawar~aE_1	pos:verb	pos:verb	pause;;hesitate
Aisota$oyib_1	UNK	pos:verb	UNK	gray
AisotaSobaH_1	{isotaSobaH_1	pos:verb	pos:verb	light;;illuminate
AisotaSobaY_1	{isotaSobaY_1	pos:verb	pos:verb	be childish;;be infantile
AisotaSoEab_1	{isotaSoEab_1	pos:verb	pos:verb	consider difficult
AisotaSogar_1	{isotaSogar_1	pos:verb	pos:verb	look down on
AisotaSofar_1	UNK	pos:verb	UNK	choose yellow  thing
AisotaSolaH_1	{isotaSolaH_1	pos:verb	pos:verb	deem suitable;;put in order
AisotaSodar_1	{isotaSodar_1	pos:verb	pos:verb	issue
AisotaSodag_1	UNK	pos:verb	UNK	temple
AisotaSofaH_1	{isotaSofaH_1	pos:verb	pos:verb	apologize
AisotaSowab_1	UNK	pos:verb	UNK	consider right
AisotaDAf_1	{isotaDAf_1	pos:verb	pos:verb	be hosted;;invite;;be invited;;host
AisotaDoxam_1	UNK	pos:verb	UNK	consider  huge
AisotaDo>al_1	UNK	pos:verb	UNK	consider small
AisotaDoEaf_1	{isotaDoEaf_1	pos:verb	pos:verb	despise;;oppress
Aisotadoyaq_1	UNK	pos:verb	UNK	consider narrow
AisotaTAE_1	{isotaTAE_1	pos:verb	pos:verb	be capable;;be possible;;be able
AisotaToraY_1	UNK	pos:verb	UNK	consider supple
AisotaToEam_1	{isotaToEam_1	pos:verb	pos:verb	ask for food
AisotaTohar_1	taTah~ar_1	pos:verb	pos:verb	cleanse
AisotaTowil_1	{isotaTAl_1	pos:verb	pos:verb	be lengthened;;be insolent
AisotaToyab_1	{isotaTAb_1	pos:verb	pos:verb	appreciate;;consider pleasant
{isotaToyab_1	{isotaTAb_1	pos:verb	pos:verb	appreciate;;consider pleasant
AisotaToyib_1	{isotaTAb_1	pos:verb	pos:verb	appreciate;;consider pleasant
AisotaTolaE_1	{isotaTolaE_1	pos:verb	pos:verb	reconnoiter;;inquire
AisotaZal~_1	{isotaZal~_1	pos:verb	pos:verb	seek refuge;;seek shade
AisotaZoraf_1	{isotaZoraf_1	pos:verb	pos:verb	deem charming
AisotaEA*_1	{isotaEA*_1	pos:verb	pos:verb	take refuge;;seek protection
AisotaEAr_1	{isotaEAr_1	pos:verb	pos:verb	be borrowed;;borrow
AisotaEAn_1	{isotaEAn_1	pos:verb	pos:verb	seek aid from;;resort to;;turn for help to;;be asked for aid
AisotaEobaT_1	taHAmaq_1	pos:verb	pos:verb	feign stupidity
AisotaEobid_1	{isotaEobad_1	pos:verb	pos:verb	enslave
AisotaEojib_1	{isotaEojab_1	pos:verb	pos:verb	be amazed
AisotaEoraD_1	{isotaEoraD_1	pos:verb	pos:verb	review;;inspect
AisotaEoraf_1	taEar~af_1	pos:verb	pos:verb	get know;;identify;;become acquainted with
AisotaEoSaY_1	{isotaEoSaY_1	pos:verb	pos:verb	elude;;fail;;be eluded
AisotaEoTaY_1	{isotaEoTaY_1	pos:verb	pos:verb	ask for alms;;be asked (for alms)
AisotaEoDam_1	{isotaEoZam_1	pos:verb	pos:verb	regard as important;;be haughty
AisotaEoZam_1	{isotaEoZam_1	pos:verb	pos:verb	regard as important;;be haughty
AisotaEofaY_1	{isotaEofaY_1	pos:verb	pos:verb	be requested (exemption);;request exemption
AisotaEoqad_1	UNK	pos:verb	UNK	complicated
AisotaEokar_1	taEak~ar_1	pos:verb	pos:verb	turbidity
AisotaEolam_1	{isotaEolam_1	pos:verb	pos:verb	inquire
AisotaEolaY_1	{isotaEolaY_1	pos:verb	pos:verb	be appropriated;;appropriate;;rise
AisotaEomar_1	{isotaEomar_1	pos:verb	pos:verb	colonize;;settle
AisotaEomaY_1	UNK	pos:verb	UNK	deceive
AisotaEomil_1	{isotaEomal_1	pos:verb	pos:verb	be used;;be employed;;use;;employ
AisotaEonaY_1	zaHar-ia_1	pos:verb	pos:verb	suffered dysentery
AisotaEowaD_1	UNK	pos:verb	UNK	wanted the recoupment
AisotaEowaq_1	UNK	pos:verb	UNK	consider late
AisotaEowil_1	UNK	pos:verb	UNK	responsible
AisotaEad~_1	{isotaEad~_1	pos:verb	pos:verb	get ready
AisotaEar~_1	{isotaEar_1	pos:verb	pos:verb	burn;;flare up
AisotaEaz~_1	{iEotaz~_1	pos:verb	pos:verb	be proud
AisotaEaf~_1	taEaf~af_1	pos:verb	pos:verb	shy away;;shrink away
AisotaEobar_1	{isotaEobar_1	pos:verb	pos:verb	weep
AisotaEojil_1	{isotaEojal_1	pos:verb	pos:verb	hurry;;hasten
AisotaEodil_1	UNK	pos:verb	UNK	adjusts
AisotaEoTaf_1	{isotaEoTaf_1	pos:verb	pos:verb	propitiate
AisotagAv_1	{isotagAv_1	pos:verb	pos:verb	ask for help;;seek aid;;be asked for help
AisotagAZ_1	{igotAZ_1	pos:verb	pos:verb	become enraged;;be irritated
AisotagobaY_1	UNK	pos:verb	UNK	behave stupidly
Aisotagojar_1	UNK	pos:verb	UNK	be gypsy
Aisotagorab_1	{isotagorab_1	pos:verb	pos:verb	wonder at;;find strange
Aisotagorab_1	{isotagorab_1	pos:verb	pos:verb	wonder at;;find strange
Aisotago$am_1	tagA$am_1	pos:verb	pos:verb	feign ignorance
Aisotago$im_1	tagA$am_1	pos:verb	pos:verb	feign ignorance
AisotagolaT_1	UNK	pos:verb	UNK	mistake
AisotagolaY_1	{isotagolaY_1	pos:verb	pos:verb	be regarded as expensive;;regard as expensive
Aisotagolis_1	UNK	pos:verb	UNK	slight
Aisotagomaq_1	UNK	pos:verb	UNK	darken
AisotagonaY_1	{isotagonaY_1	pos:verb	pos:verb	dispense with;;manage without;;be dispensed with
Aisotagoyib_1	UNK	pos:verb	UNK	miss
AisotagaT~aY_1	tagaT~aY_1	pos:verb	pos:verb	be covered
Aisotagaf~_1	xadaE-a_1	pos:verb	pos:verb	be deceived;;deceive
Aisotagal~_1	{isotagal~_1	pos:verb	pos:verb	be exploited;;take advantage of;;be taken advantage of;;exploit
Aisotagal~_1	{isotagal~_1	pos:verb	pos:verb	utilize;;take advantage of;;exploit
Aisotagoraq_1	{isotagoraq_1	pos:verb	pos:verb	last
Aisotagofar_1	{isotagofar_1	pos:verb	pos:verb	beg forgiveness;;apologize
Aisotagofil_1	{isotagofal_1	pos:verb	pos:verb	regard as negligent
Aisotagolib_1	{isotaDoEaf_1	pos:verb	pos:verb	despise;;oppress
AisotagowaT_1	UNK	pos:verb	UNK	consider to deep
AisotagowaT_1	tagaw~aT_1	pos:verb	pos:verb	shits
Aisotagowil_1	UNK	pos:verb	UNK	inflate
AisotafAd_1	>afAd_1	pos:verb	pos:verb	derive benefit
AisotafAd_1	UNK	pos:verb	UNK	derive benefit
AisotafotaH_1	{isotafotaH_1	pos:verb	pos:verb	open up with;;begin with;;pray (god) for victory (against)
AisotafolaH_1	{isotafolaH_1	pos:verb	pos:verb	prosper;;thrive
Aisotafaz~_1	{isotafaz~_1	pos:verb	pos:verb	provoke;;harass
Aisotafaz~_1	{isotafaz~_1	pos:verb	pos:verb	provoke;;incite
Aisotafanodiy~Ayap_1	yuwsufiy~_1	pos:noun	pos:noun	a tangerine
AisotafotaY_1	{isotafotaY_1	pos:verb	pos:verb	ask for a legal opinion
AisotafoHal_1	{isotafoHal_1	pos:verb	pos:verb	exacerbate
Aisotaforad_1	{isotaforad_1	pos:verb	pos:verb	be solitary
Aisotaforag_1	taqay~a>_1	pos:verb	pos:verb	vomit
Aisotafosar_1	{isotafosar_1	pos:verb	pos:verb	inquire
Aisotafosar_1	{isotafosar_1	pos:verb	pos:verb	inquiry
AisotafoDaY_1	>aforag_1	pos:verb	pos:verb	consider free;;unoccupied
AisotafoDaY_1	{isotaforag_1	pos:verb	pos:verb	consider free;;unoccupied
AisotafoZaE_1	{isotabo$aE_1	pos:verb	pos:verb	consider hideous
AisotafoEal_1	zanaY-i_1	pos:verb	pos:verb	fornicate with
UNK	yuwsufiy~_1	UNK	pos:noun	tangerine
Aisotafohim_1	{isotafoham_1	pos:verb	pos:verb	inquire
AisotaqAl_1	{isotaqAl_1	pos:verb	pos:verb	resign
AisotaqAm_1	{isotaqAm_1	pos:verb	pos:verb	become right;;proper
AisotaqAm_1	{isotaqAm_1	pos:verb	pos:verb	become unbent
AisotaqAm_1	{isotaqAm_1	pos:verb	pos:verb	straighten out;;unbend
Aisotaqoraf_1	{i$oma>az~_1	pos:verb	pos:verb	be disgusted;;be nauseated
AisotaqofaY_1	{isotaDoEaf_1	pos:verb	pos:verb	despise;;oppress
AisotaqonaT_1	UNK	pos:verb	UNK	discourage;;drive despair
AisotaqonaE_1	UNK	pos:verb	UNK	convince;;persuade
Aisotaqal~_1	{isotaqal~_1	pos:verb	pos:verb	be independent;;be autonomous
Aisotaqobil_1	>arosaY_1	pos:verb	pos:verb	anchor
Aisotaqobil_1	{isotaqobal_1	pos:verb	pos:verb	receive
UNK	qaE~ar_1	UNK	pos:verb	make concave
Aisotaqotil_1	tamas~ak_1	pos:verb	pos:verb	adhere
Aisotaqotil_1	{iEotaSam_1	pos:verb	pos:verb	adhere
Aisotaqodim_1	{isotaqodam_1	pos:verb	pos:verb	reject as to old
AisotaqorA_1	qara>-a_1	pos:verb	pos:verb	settle down
Aisotaqorab_1	{isotaqorab_1	pos:verb	pos:verb	consider close
Aisotaqorab_1	{isotaqorab_1	pos:verb	pos:verb	render sooner
AisotaqoSad_1	UNK	pos:verb	UNK	economize
AisotaqoSar_1	{isotaqoSar_1	pos:verb	pos:verb	consider to short
AisotaqoSaY_1	{isotaqoSaY_1	pos:verb	pos:verb	be investigated
AisotaqoDaY_1	{isotaqoDaY_1	pos:verb	pos:verb	acquire
AisotaqoTaE_1	{isotaqoTaE_1	pos:verb	pos:verb	deduct
AisotaqoEad_1	{iEotaqad_1	pos:verb	pos:verb	believe
AisotaqowaY_1	{isotaqowaY_1	pos:verb	pos:verb	consider strong
AisotakAn_1	{isotakAn_1	pos:verb	pos:verb	resign oneself
Aisotakobar_1	{isotakobar_1	pos:verb	pos:verb	be arrogant
Aisotakotib_1	{isotakotab_1	pos:verb	pos:verb	force to write
{isotakovar_1	{isotakovar_1	pos:verb	pos:verb	consider much
Aisotakorad_1	xadaE-a_1	pos:verb	pos:verb	dupe
Aisotako$if_1	{isotako$af_1	pos:verb	pos:verb	explore
AisotakofaY_1	{ikotafaY_1	pos:verb	pos:verb	have one's fill;;have enough
AisotakolaH_1	tawAqaH_1	pos:verb	pos:verb	display cheekiness
Aisotakolif_1	{isotaqobaH_1	pos:verb	pos:verb	find horrible
Aisotakomil_1	{isotakomal_1	pos:verb	pos:verb	complete
Aisotalo>am_1	UNK	pos:verb	UNK	consider cunning
Aisotalobad_1	UNK	pos:verb	UNK	flocculate
Aisotaloqaf_1	talaq~af_1	pos:verb	pos:verb	seize;;catch
Aisotala*~_1	{isotala*~_1	pos:verb	pos:verb	find delightful;;take pleasure in
Aisotalaf_1	UNK	pos:verb	UNK	borrow
UNK	UNK	UNK	UNK	select for softness
UNK	UNK	UNK	UNK	consider to soft
Aisotalobax_1	UNK	pos:verb	UNK	con;;dupe
Aisotaloxam_1	UNK	pos:verb	UNK	find dumb
Aisotalozam_1	{isotalozam_1	pos:verb	pos:verb	require;;deem necessary
AisotaloTax_1	UNK	pos:verb	UNK	consider dimwitted
AisotaloTax_1	tawAqaH_1	pos:verb	pos:verb	behave boorishly
AisotaloTaf_1	{isotaloTaf_1	pos:verb	pos:verb	consider agreeable
Aisotalofat_1	{isotalofat_1	pos:verb	pos:verb	attract
AisotaloqaH_1	ramaY-i_1	pos:verb	pos:verb	throw
AisotaloqaT_1	taraS~ad_1	pos:verb	pos:verb	look for haphazardly
AisotaloqaY_1	{isotaloqaY_1	pos:verb	pos:verb	lie down;;be lied down (upon)
AisotalomaE_1	UNK	pos:verb	UNK	consider shiny
Aisotaloham_1	{isotaloham_1	pos:verb	pos:verb	draw inspiration for
AisotalowaH_1	UNK	pos:verb	UNK	act like a dullard
AisotamAl_1	{isotamAl_1	pos:verb	pos:verb	win over
AisotamAl_1	{isotamAl_2	pos:verb	pos:verb	win over
AisotamAl_1	{isotamAl_1	pos:verb	pos:verb	win the favor of
AisotamAl_1	{isotamAl_2	pos:verb	pos:verb	win the favor of
AisotamoHan_1	{imotaHan_1	pos:verb	pos:verb	put test;;examine
Aisotamar~_1	{isotamar~_1	pos:verb	pos:verb	continue
AisotamaE_1	{isotamaE_1	pos:verb	pos:verb	listen
AisotamotaE_1	{isotamotaE_1	pos:verb	pos:verb	derive enjoyment
Aisotamotin_1	UNK	pos:verb	UNK	consider strong;;durable
Aisotamotil_1	{imotaval_1	pos:verb	pos:verb	submit;;subject oneself
Aisotamorar_1	mar~ar_1	pos:verb	pos:verb	consider to bitter
UNK	{isotamaE_1	UNK	pos:verb	listen
Aisotamohil_1	{isotamohal_1	pos:verb	pos:verb	delay
Aisotamohil_1	{isotamohal_1	pos:verb	pos:verb	give extra time
Aisotamohil_1	{isotamohal_1	pos:verb	pos:verb	give respite to
Aisotamohil_1	talak~a>_1	pos:verb	pos:verb	tarry
Aisotamowit_1	tamAwat_1	pos:verb	pos:verb	exert oneself
Aisotamowit_1	tamAwat_1	pos:verb	pos:verb	pretend to be died
AisotanAr_1	{isotanAr_1	pos:verb	pos:verb	seek enlightenment
Aisotanofad_1	{isotanofad_1	pos:verb	pos:verb	consume;;deplete
UNK	UNK	UNK	UNK	have a wet dream
UNK	{isotanAm_1	UNK	pos:verb	take advantage
Aisotan~_1	{isotan~_1	pos:verb	pos:verb	follow;;prescribe
Aisotan~aY_1	{inotaZar_1	pos:verb	pos:verb	expect;;be waited for;;wait for;;be expected
AisotanobaT_1	>alomaH_1	pos:verb	pos:verb	infer
AisotanobaT_1	{isotanotaj_1	pos:verb	pos:verb	deduce
Aisotanobit_1	takAvar_1	pos:verb	pos:verb	breed
Aisotanobih_1	{isota*okaY_1	pos:verb	pos:verb	select for intelligence skill
Aisotanobih_1	tanab~ah_1	pos:verb	pos:verb	act the wise guy
Aisotanotij_1	{isotadal~_1	pos:verb	pos:verb	deduce
AisotanojaY_1	{isotanojaY_1	pos:verb	pos:verb	wash the anus and genitals after defecating
Aisotanojib_1	najub-u_1	pos:verb	pos:verb	select for outstanding ability
Aisotanojid_1	{isotanojad_1	pos:verb	pos:verb	appeal
Aisotanojiz_1	>asoraE_1	pos:verb	pos:verb	hurry up
Aisotanojiz_1	>asoraE_1	pos:verb	pos:verb	speed up
Aisotanojiz_1	Eaj~al_1	pos:verb	pos:verb	hasten
Aisotanojis_1	UNK	pos:verb	UNK	consider as ritually unclean
AisotanoHaf_1	{isotaDoEaf_1	pos:verb	pos:verb	reject for being to thin
AisotanoHaf_1	UNK	pos:verb	UNK	select for thinness
Aisotanoxab_1	{inotaxab_1	pos:verb	pos:verb	elect
AisotanodaY_1	UNK	pos:verb	UNK	consider
AisotanodaY_1	UNK	pos:verb	UNK	select for moistness
AisotanodaY_1	nadiy-a_1	pos:verb	pos:verb	consider
Aisotanodil_1	UNK	pos:verb	UNK	consider low
Aisotanodil_1	UNK	pos:verb	UNK	behave in a scoundrel manner
Aisotanodil_1	UNK	pos:verb	UNK	be mean
Aisotanodil_1	na*ul-u_1	pos:verb	pos:verb	be despicable
Aisotanodil_1	na*ul-u_1	pos:verb	pos:verb	select for despicability
Aisotanozif_1	{isotanozaf_1	pos:verb	pos:verb	sap
Aisotanozif_1	UNK	pos:verb	UNK	drain
Aisotanozil_1	{inosaHab_1	pos:verb	pos:verb	give way
Aisotanozil_1	tanAzal_1	pos:verb	pos:verb	step down
Aisotanozil_1	xaSam-i_1	pos:verb	pos:verb	deduct
Aisotanosib_1	{isotanosab_1	pos:verb	pos:verb	select for suitability
Aisotano$aq_1	{isotano$aq_1	pos:verb	pos:verb	inhale through the nose
Aisotano$aq_1	{isotano$aq_1	pos:verb	pos:verb	sniff up
Aisotano$aq_1	{isotano$aq_1	pos:verb	pos:verb	snuff water
Aisotano$if_1	UNK	pos:verb	UNK	act tough
Aisotano$if_1	UNK	pos:verb	UNK	select for toughness
Aisotano$if_1	UNK	pos:verb	UNK	consider;;hard;;tough
AisotanoSaH_1	{isotanoSaH_1	pos:verb	pos:verb	select for intelligence
AisotanoSaH_1	UNK	pos:verb	UNK	be alert
AisotanoSaH_1	UNK	pos:verb	UNK	be sharp
AisotanoSar_1	{isotanoSar_1	pos:verb	pos:verb	convert Christianity
AisotanoSar_1	tanaS~ar_1	pos:verb	pos:verb	become a Christian
AisotanoDaj_1	UNK	pos:verb	UNK	select for maturity
AisotanoTaE_1	UNK	pos:verb	UNK	select for uncouthness
AisotanoTaE_1	taTaf~al_1	pos:verb	pos:verb	behave like about
AisotanoTaE_1	taTaf~al_1	pos:verb	pos:verb	reject for uncouthness
AisotanoTaE_1	UNK	pos:verb	UNK	behave uncouthly
AisotanoTaq_1	taqay~a>_1	pos:verb	pos:verb	vomit
AisotanoZar_1	UNK	pos:verb	UNK	be jinxed
AisotanoDaf_1	{isotaqAm_1	pos:verb	pos:verb	behave in a straightforward fashion
AisotanoDaf_1	{iEotabar_1	pos:verb	pos:verb	consider
AisotanoDaf_1	{inotaqaY_1	pos:verb	pos:verb	pick out
AisotanoEam_1	UNK	pos:verb	UNK	act in a spineless manner
AisotanoEam_1	UNK	pos:verb	UNK	consider fine
AisotanoEam_1	UNK	pos:verb	UNK	consider smooth
AisotanoEam_1	UNK	pos:verb	UNK	select for softness
AisotanofaE_1	{inotafaE_1	pos:verb	pos:verb	profit
