  IVSUFF_SUBJ:3MP_MOOD:SJ                    UNDEF*                    UNDEF*                #3_MASC_PL
     IVSUFF_SUBJ:D_MOOD:I                    UNDEF*                    UNDEF*                       #DU
    IVSUFF_SUBJ:D_MOOD:SJ                    UNDEF*                    UNDEF*                       #DU
           IVSUFF_SUBJ:FP                    UNDEF*                    UNDEF*                   #FEM_PL
    IVSUFF_SUBJ:MD_MOOD:I                    UNDEF*                    UNDEF*                  #MASC_DU
    IVSUFF_SUBJ:MP_MOOD:I                    UNDEF*                    UNDEF*                  #MASC_PL
   IVSUFF_SUBJ:MP_MOOD:SJ                    UNDEF*                    UNDEF*                  #MASC_PL
                  IV_PASS                       VBN                  VRB-PASS                   IV_PASS
                      JUS                        RP                       PRT                      PART
                 JUS_PART                        RP                       PRT                      PART
                    LATIN                        NN                       NOM                       OTH
                 NEG_PART                       RP*                      PRT*                  PART_NEG
                     NOUN                        NN                       NOM                      NOUN
                  NOUN.VN                        NN                       NOM                   NOUN_VN
                 NOUN_NUM                        NN                       NOM                  NOUN_NUM
                NOUN_PROP                       NNP                      PROP                 NOUN_PROP
               NOUN_QUANT                NOUN_QUANT                       NOM                NOUN_QUANT
                  NO_FUNC                        NN                       NOM                       OTH
                   NO_SOL                        NN                       NOM                       OTH
         NSUFF_FEM_DU_ACC                        #S                    UNDEF*                   #FEM_DU
      NSUFF_FEM_DU_ACCGEN                        #S                    UNDEF*                   #FEM_DU
 NSUFF_FEM_DU_ACCGEN_POSS                        #S                    UNDEF*              #FEM_DU_POSS
    NSUFF_FEM_DU_ACC_POSS                        #S                    UNDEF*              #FEM_DU_POSS
         NSUFF_FEM_DU_GEN                        #S                    UNDEF*                   #FEM_DU
    NSUFF_FEM_DU_GEN_POSS                        #S                    UNDEF*              #FEM_DU_POSS
         NSUFF_FEM_DU_NOM                        #S                    UNDEF*                   #FEM_DU
    NSUFF_FEM_DU_NOM_POSS                        #S                    UNDEF*              #FEM_DU_POSS
             NSUFF_FEM_PL                        #S                    UNDEF*                   #FEM_PL
             NSUFF_FEM_SG                    UNDEF*                    UNDEF*                   #FEM_SG
            NSUFF_MASC_DU                        #S                    UNDEF*                  #MASC_DU
        NSUFF_MASC_DU_ACC                        #S                    UNDEF*                  #MASC_DU
     NSUFF_MASC_DU_ACCGEN                        #S                    UNDEF*                  #MASC_DU
NSUFF_MASC_DU_ACCGEN_POSS                        #S                    UNDEF*             #MASC_DU_POSS
   NSUFF_MASC_DU_ACC_POSS                        #S                    UNDEF*             #MASC_DU_POSS
        NSUFF_MASC_DU_GEN                        #S                    UNDEF*                  #MASC_DU
   NSUFF_MASC_DU_GEN_POSS                        #S                    UNDEF*             #MASC_DU_POSS
        NSUFF_MASC_DU_NOM                        #S                    UNDEF*                  #MASC_DU
   NSUFF_MASC_DU_NOM_POSS                        #S                    UNDEF*             #MASC_DU_POSS
        NSUFF_MASC_PL_ACC                        #S                    UNDEF*                  #MASC_PL
     NSUFF_MASC_PL_ACCGEN                        #S                    UNDEF*                  #MASC_PL
NSUFF_MASC_PL_ACCGEN_POSS                        #S                    UNDEF*             #MASC_PL_POSS
   NSUFF_MASC_PL_ACC_POSS                        #S                    UNDEF*             #MASC_PL_POSS
        NSUFF_MASC_PL_GEN                        #S                    UNDEF*                  #MASC_PL
   NSUFF_MASC_PL_GEN_POSS                        #S                    UNDEF*             #MASC_PL_POSS
        NSUFF_MASC_PL_NOM                        #S                    UNDEF*                  #MASC_PL
   NSUFF_MASC_PL_NOM_POSS                        #S                    UNDEF*             #MASC_PL_POSS
  NSUFF_MASC_SG_ACC_INDEF                    UNDEF*                    UNDEF*                  #MASC_SG
                      NUM                        CD                       NOM                  NOUN_NUM
            NUMERIC_COMMA                      PUNC                       PNX                      PUNC
                     PART                        RP                       PRT                      PART
                  PARTIAL                        NN                       NOM                       OTH
             POSS_PRON_1P                      PRP$                       NOM             PRN_POSS+1_PL
             POSS_PRON_1S                      PRP$                       NOM             PRN_POSS+1_SG
             POSS_PRON_2D                      PRP$                       NOM             PRN_POSS+2_DU
            POSS_PRON_2FP                      PRP$                       NOM         PRN_POSS+2_FEM_PL
            POSS_PRON_2FS                      PRP$                       NOM         PRN_POSS+2_FEM_SG
            POSS_PRON_2MP                      PRP$                       NOM        PRN_POSS+2_MASC_PL
            POSS_PRON_2MS                      PRP$                       NOM        PRN_POSS+2_MASC_SG
             POSS_PRON_3D                      PRP$                       NOM             PRN_POSS+3_DU
            POSS_PRON_3FP                      PRP$                       NOM         PRN_POSS+3_FEM_PL
            POSS_PRON_3FS                      PRP$                       NOM         PRN_POSS+3_FEM_SG
            POSS_PRON_3MP                      PRP$                       NOM        PRN_POSS+3_MASC_PL
            POSS_PRON_3MS                      PRP$                       NOM        PRN_POSS+3_MASC_SG
                     PREP                       IN*                      PRT*                      PREP
                     PRON                       PRP                       NOM                       PRN
                  PRON_1P                       PRP                       NOM                  PRN+1_PL
                  PRON_1S                       PRP                       NOM                  PRN+1_SG
                  PRON_2D                       PRP                       NOM                  PRN+2_DU
                 PRON_2FP                       PRP                       NOM              PRN+2_FEM_PL
                 PRON_2FS                       PRP                       NOM              PRN+2_FEM_SG
                 PRON_2MP                       PRP                       NOM             PRN+2_MASC_PL
                 PRON_2MS                       PRP                       NOM             PRN+2_MASC_SG
                  PRON_3D                       PRP                       NOM                  PRN+3_DU
                 PRON_3FP                       PRP                       NOM              PRN+3_FEM_PL
                 PRON_3FS                       PRP                       NOM              PRN+3_FEM_SG
                 PRON_3MP                       PRP                       NOM             PRN+3_MASC_PL
                 PRON_3MS                       PRP                       NOM             PRN+3_MASC_SG
              PSEUDO_VERB                        AN                       PRT                      VERB
                     PUNC                      PUNC                       PNX                      PUNC
                       PV                       VBD                       VRB                        PV
               PVSUFF_3MS                    UNDEF*                    UNDEF*                #3_MASC_SG
             PVSUFF_DO:1P                       PRP                       NOM               PRN_DO+1_PL
             PVSUFF_DO:1S                       PRP                       NOM               PRN_DO+1_SG
             PVSUFF_DO:2D                       PRP                       NOM               PRN_DO+2_DU
            PVSUFF_DO:2FP                       PRP                       NOM           PRN_DO+2_FEM_PL
            PVSUFF_DO:2FS                       PRP                       NOM           PRN_DO+2_FEM_SG
            PVSUFF_DO:2MP                       PRP                       NOM          PRN_DO+2_MASC_PL
